piste;nimi;x_gk25;y_gk25;suunta;aika;vuosi;ha;pa;ka;ra;la;mp;rv;autot
A04;MECHELININKATU;25495441;6673716;1;645;2011;144;6;7;0;4;1;0;161
A04;MECHELININKATU;25495441;6673716;1;700;2011;126;23;7;1;2;0;0;159
A04;MECHELININKATU;25495441;6673716;1;715;2011;149;35;10;0;2;1;0;196
A04;MECHELININKATU;25495441;6673716;1;730;2011;165;28;8;0;2;0;0;203
A04;MECHELININKATU;25495441;6673716;1;745;2011;201;22;6;1;1;1;0;231
A04;MECHELININKATU;25495441;6673716;1;800;2011;195;28;6;0;3;2;0;232
A04;MECHELININKATU;25495441;6673716;1;815;2011;206;29;9;0;1;1;0;245
A04;MECHELININKATU;25495441;6673716;1;830;2011;230;28;6;0;1;3;0;265
A04;MECHELININKATU;25495441;6673716;1;845;2011;225;24;8;1;2;2;0;260
A04;MECHELININKATU;25495441;6673716;1;900;2011;682;133;26;0;5;2;0;846
A04;MECHELININKATU;25495441;6673716;1;1000;2011;552;110;24;2;6;1;0;694
A04;MECHELININKATU;25495441;6673716;1;1100;2011;573;93;32;2;5;1;0;705
A04;MECHELININKATU;25495441;6673716;1;1200;2011;572;109;26;6;9;0;0;722
A04;MECHELININKATU;25495441;6673716;1;1300;2011;531;80;29;2;6;1;0;648
A04;MECHELININKATU;25495441;6673716;1;1400;2011;557;92;31;0;6;1;0;686
A04;MECHELININKATU;25495441;6673716;1;1500;2011;158;18;5;2;1;1;0;184
A04;MECHELININKATU;25495441;6673716;1;1515;2011;172;12;2;1;3;2;0;190
A04;MECHELININKATU;25495441;6673716;1;1530;2011;163;14;4;0;1;1;0;182
A04;MECHELININKATU;25495441;6673716;1;1545;2011;182;11;2;0;2;1;0;197
A04;MECHELININKATU;25495441;6673716;1;1600;2011;202;19;2;0;2;1;0;225
A04;MECHELININKATU;25495441;6673716;1;1615;2011;176;10;4;0;0;1;0;190
A04;MECHELININKATU;25495441;6673716;1;1630;2011;176;13;5;0;1;1;0;195
A04;MECHELININKATU;25495441;6673716;1;1645;2011;156;12;2;1;1;0;0;172
A04;MECHELININKATU;25495441;6673716;1;1700;2011;166;9;4;1;2;1;0;182
A04;MECHELININKATU;25495441;6673716;1;1715;2011;171;8;5;0;0;1;0;184
A04;MECHELININKATU;25495441;6673716;1;1730;2011;153;10;5;0;1;2;0;169
A04;MECHELININKATU;25495441;6673716;1;1745;2011;155;12;1;0;0;0;0;168
A04;MECHELININKATU;25495441;6673716;1;1800;2011;565;38;9;0;4;1;0;616
A04;MECHELININKATU;25495441;6673716;1;1900;2011;483;13;7;0;3;7;0;506
A04;MECHELININKATU;25495441;6673716;1;2000;2011;478;3;6;0;2;6;0;489
A04;MECHELININKATU;25495441;6673716;1;2100;2011;248;19;1;0;1;5;0;269
A04;MECHELININKATU;25495441;6673716;1;2200;2011;143;10;1;0;1;3;0;155
A04;MECHELININKATU;25495441;6673716;1;2300;2011;74;9;1;0;4;1;0;88
A04;MECHELININKATU;25495441;6673716;2;0;2011;52;3;0;0;7;0;0;62
A04;MECHELININKATU;25495441;6673716;2;100;2011;44;4;1;0;6;0;0;55
A04;MECHELININKATU;25495441;6673716;2;200;2011;32;4;2;0;0;0;0;38
A04;MECHELININKATU;25495441;6673716;2;300;2011;31;2;1;0;1;0;0;35
A04;MECHELININKATU;25495441;6673716;2;400;2011;31;2;3;0;0;0;0;36
A04;MECHELININKATU;25495441;6673716;2;500;2011;78;10;7;0;1;0;0;96
A04;MECHELININKATU;25495441;6673716;2;600;2011;42;5;2;0;0;0;0;49
A04;MECHELININKATU;25495441;6673716;2;615;2011;50;6;3;0;0;0;0;59
A04;MECHELININKATU;25495441;6673716;2;630;2011;69;9;4;0;0;0;0;82
A04;MECHELININKATU;25495441;6673716;2;645;2011;76;9;4;0;0;0;0;89
A04;MECHELININKATU;25495441;6673716;2;700;2011;102;20;7;0;1;0;0;130
A04;MECHELININKATU;25495441;6673716;2;715;2011;142;12;3;1;0;0;0;158
